,ATTENTION_EMBEDDING,BATCH_SIZE,BINARY_CLASSIFICATION,Config_name,DROPOUT_KEEP_PROB,EEG_SIGNAL,EEG_SIGNAL_FORMAT,EYE_TRACKING,EYE_TRACKING_FORMAT,HALVE_LR_EVERY_PASSES,HIDDEN_LAYER_UNITS,INITIAL_LR,L2_REG_LAMBDA,LSTM_UNITS,NORMALIZE_EEG,NORMALIZE_ET,NUM_EPOCHS,SUBJECTS,USE_NORMALIZATION_LAYER,VERBOSE,WORD_EMBEDDINGS,Accuracy,Precision_neg,Recall_neg,F1_neg,Precision_pos,Recall_pos,F1_pos
0,True,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,3,50,0.001,0.0,300,True,True,10,ZPH,True,False,True,0.82591736,0.81409186,0.84954005,0.81134236,0.8646458,0.838879,0.83396894
1,True,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,3,50,0.001,0.0,300,True,True,10,ZMG,True,False,True,0.85084707,0.85340184,0.8644473,0.8464748,0.86505556,0.8625309,0.8511952
2,True,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,3,50,0.001,0.0,300,True,True,10,ZAB,True,False,True,0.8329563,0.8318081,0.8505293,0.8282315,0.85032856,0.8375223,0.8311431
3,True,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,3,50,0.001,0.0,300,True,True,10,ZJN,True,False,True,0.8256874,0.80457705,0.8534358,0.81134,0.86926115,0.8270348,0.83366454
4,True,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,3,50,0.001,0.0,300,True,True,10,ZKH,True,False,True,0.82987845,0.81568825,0.8542305,0.8212096,0.8688882,0.8215486,0.834334
5,True,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,3,50,0.001,0.0,300,True,True,10,ZGW,True,False,True,0.862358,0.8677117,0.87224805,0.8582393,0.8830074,0.8652708,0.8638069
6,True,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,3,50,0.001,0.0,300,True,True,10,ZJS,True,False,True,0.85403997,0.84287834,0.8656378,0.84631425,0.8838614,0.8449693,0.85702676
7,True,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,3,50,0.001,0.0,300,True,True,10,ZKB,True,False,True,0.8549058,0.8237481,0.88311356,0.84376526,0.90451413,0.8341177,0.8609058
8,True,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,3,50,0.001,0.0,300,True,True,10,ZDM,True,False,True,0.8521179,0.8290963,0.8873398,0.84565145,0.8915857,0.8406674,0.85557795
9,True,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,3,50,0.001,0.0,300,True,True,10,ZJM,True,False,True,0.8477885,0.8128079,0.8881276,0.83537704,0.9042679,0.8311308,0.8541934
10,True,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,3,50,0.001,0.0,300,True,True,10,ZKW,True,False,True,0.81925774,0.7983271,0.8452832,0.8085052,0.86417294,0.80950654,0.8254202
11,True,32,True,Config__binary_WE_ET_EEG,0.5,True,RAW_EEG,True,RAW_ET,3,50,0.001,0.0,300,True,True,10,"['ZPH', 'ZMG', 'ZAB', 'ZJN', 'ZKH', 'ZGW', 'ZJS', 'ZKB', 'ZDM', 'ZJM', 'ZKW']",True,False,True,0.8216926,0.81713045,0.8352639,0.8149351,0.8491963,0.82061464,0.8238653
